"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\ar\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\group.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bn\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\group.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\bs\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\cs\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
